,:START_ID,:END_ID,relation,:TYPE
0,HN3126,ETCM_disease_id_1067,disease_is,disease
1,HN3126,ETCM_disease_id_1627,disease_is,disease
2,HN3126,ETCM_disease_id_1335,disease_is,disease
3,HN3126,ETCM_disease_id_3984,disease_is,disease
4,HN3126,ETCM_disease_id_530,disease_is,disease
5,HN3126,ETCM_disease_id_1617,disease_is,disease
6,HN3126,ETCM_disease_id_3894,disease_is,disease
7,HN3126,ETCM_disease_id_1070,disease_is,disease
8,HN3126,ETCM_disease_id_1355,disease_is,disease
9,HN3126,ETCM_disease_id_2291,disease_is,disease
10,HN3126,ETCM_disease_id_457,disease_is,disease
11,HN3126,ETCM_disease_id_2066,disease_is,disease
12,HN3126,ETCM_disease_id_1060,disease_is,disease
13,HN3126,ETCM_disease_id_3148,disease_is,disease
14,HN3126,ETCM_disease_id_1386,disease_is,disease
15,HN3126,ETCM_disease_id_1313,disease_is,disease
16,HN3126,ETCM_disease_id_362,disease_is,disease
17,HN3126,ETCM_disease_id_2014,disease_is,disease
18,HN3126,ETCM_disease_id_874,disease_is,disease
19,HN3126,ETCM_disease_id_908,disease_is,disease
20,HN3126,ETCM_disease_id_3091,disease_is,disease
21,HN3126,ETCM_disease_id_3558,disease_is,disease
22,HN3126,ETCM_disease_id_1743,disease_is,disease
23,HN3126,ETCM_disease_id_1908,disease_is,disease
24,HN3126,ETCM_disease_id_2418,disease_is,disease
25,HN3126,ETCM_disease_id_468,disease_is,disease
26,HN3126,ETCM_disease_id_4210,disease_is,disease
27,HN3126,ETCM_disease_id_2010,disease_is,disease
28,HN3126,ETCM_disease_id_2158,disease_is,disease
29,HN3126,ETCM_disease_id_1170,disease_is,disease
30,HN3126,ETCM_disease_id_1137,disease_is,disease
31,HN3126,ETCM_disease_id_1128,disease_is,disease
32,HN3126,ETCM_disease_id_2084,disease_is,disease
33,HN3126,ETCM_disease_id_2103,disease_is,disease
34,HN3126,ETCM_disease_id_1391,disease_is,disease
35,HN3126,ETCM_disease_id_2491,disease_is,disease
36,HN3126,ETCM_disease_id_1562,disease_is,disease
37,HN3126,ETCM_disease_id_2883,disease_is,disease
38,HN3126,ETCM_disease_id_3765,disease_is,disease
39,HN3126,ETCM_disease_id_555,disease_is,disease
40,HN3126,ETCM_disease_id_3986,disease_is,disease
41,HN3126,ETCM_disease_id_539,disease_is,disease
42,HN3126,ETCM_disease_id_1776,disease_is,disease
43,HN3126,ETCM_disease_id_663,disease_is,disease
44,HN3126,ETCM_disease_id_965,disease_is,disease
45,HN3126,ETCM_disease_id_2905,disease_is,disease
46,HN3126,ETCM_disease_id_3069,disease_is,disease
47,HN3126,ETCM_disease_id_2479,disease_is,disease
48,HN3126,ETCM_disease_id_2775,disease_is,disease
49,HN3126,ETCM_disease_id_2022,disease_is,disease
50,HN3126,ETCM_disease_id_2070,disease_is,disease
51,HN3126,ETCM_disease_id_3752,disease_is,disease
52,HN3126,ETCM_disease_id_2954,disease_is,disease
53,HN3126,ETCM_disease_id_2970,disease_is,disease
54,HN3126,ETCM_disease_id_536,disease_is,disease
55,HN3126,ETCM_disease_id_3661,disease_is,disease
56,HN3126,ETCM_disease_id_3468,disease_is,disease
57,HN3126,ETCM_disease_id_3845,disease_is,disease
58,HN3126,ETCM_disease_id_3344,disease_is,disease
59,HN3126,ETCM_disease_id_767,disease_is,disease
60,HN3126,ETCM_disease_id_3604,disease_is,disease
61,HN3126,ETCM_disease_id_343,disease_is,disease
62,HN3126,ETCM_disease_id_2309,disease_is,disease
63,HN3126,ETCM_disease_id_2271,disease_is,disease
64,HN3126,ETCM_disease_id_2424,disease_is,disease
65,HN3126,ETCM_disease_id_275,disease_is,disease
66,HN3126,ETCM_disease_id_3852,disease_is,disease
67,HN3126,ETCM_disease_id_2945,disease_is,disease
68,HN3126,ETCM_disease_id_1288,disease_is,disease
69,HN3126,ETCM_disease_id_3621,disease_is,disease
70,HN3126,ETCM_disease_id_3016,disease_is,disease
71,HN3126,ETCM_disease_id_1536,disease_is,disease
72,HN3126,ETCM_disease_id_2124,disease_is,disease
73,HN3126,ETCM_disease_id_1269,disease_is,disease
74,HN3126,ETCM_disease_id_639,disease_is,disease
75,HN3126,ETCM_disease_id_1917,disease_is,disease
76,HN3126,ETCM_disease_id_3092,disease_is,disease
77,HN3126,ETCM_disease_id_763,disease_is,disease
78,HN3126,ETCM_disease_id_2621,disease_is,disease
79,HN3126,ETCM_disease_id_860,disease_is,disease
80,HN3126,ETCM_disease_id_2402,disease_is,disease
81,HN3126,ETCM_disease_id_3800,disease_is,disease
82,HN3126,ETCM_disease_id_3128,disease_is,disease
83,HN3126,ETCM_disease_id_2451,disease_is,disease
84,HN3126,ETCM_disease_id_2871,disease_is,disease
85,HN3126,ETCM_disease_id_2102,disease_is,disease
86,HN3126,ETCM_disease_id_1880,disease_is,disease
87,HN3126,ETCM_disease_id_3309,disease_is,disease
88,HN3126,ETCM_disease_id_3732,disease_is,disease
89,HN3126,ETCM_disease_id_1158,disease_is,disease
90,HN3126,ETCM_disease_id_2697,disease_is,disease
91,HN3126,ETCM_disease_id_1500,disease_is,disease
92,HN3126,ETCM_disease_id_585,disease_is,disease
93,HN3126,ETCM_disease_id_1493,disease_is,disease
94,HN3126,ETCM_disease_id_2873,disease_is,disease
95,HN3126,ETCM_disease_id_261,disease_is,disease
96,HN3126,ETCM_disease_id_31,disease_is,disease
97,HN3126,ETCM_disease_id_2521,disease_is,disease
98,HN3126,ETCM_disease_id_2126,disease_is,disease
99,HN3126,ETCM_disease_id_4073,disease_is,disease
100,HN3126,ETCM_disease_id_2702,disease_is,disease
101,HN3126,ETCM_disease_id_2086,disease_is,disease
102,HN3126,ETCM_disease_id_3117,disease_is,disease
103,HN3126,ETCM_disease_id_2860,disease_is,disease
104,HN3126,ETCM_disease_id_175,disease_is,disease
105,HN3126,ETCM_disease_id_529,disease_is,disease
106,HN3126,ETCM_disease_id_1161,disease_is,disease
107,HN3126,ETCM_disease_id_417,disease_is,disease
108,HN3126,ETCM_disease_id_3880,disease_is,disease
109,HN3126,ETCM_disease_id_2209,disease_is,disease
110,HN3126,ETCM_disease_id_3551,disease_is,disease
111,HN3126,ETCM_disease_id_274,disease_is,disease
112,HN3126,ETCM_disease_id_1928,disease_is,disease
113,HN3126,ETCM_disease_id_2392,disease_is,disease
